,ShowName,ShowType,Synopsis,NumberofPerformances,Years,OpeningDate,ClosingDate,Image,ImageName,ImageLink
36,Pippin,Musical,"The young son of the medieval French ruler Charlemange is encouraged by a flashy troupe of strolling players to try his hand at war, love, and other joys before settling down.",1944,5,1972-10-23,1977-06-12,,Pippin,https://bsp-static.playbill.com/dims4/default/90ecd89/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2Fdf%2F9e%2F3d6424844d12806ab65dbdc42d22%2Fpippin-playbill-2013-03-23-web.jpg
37,South Pacific,Play,"South Pacific follows the lives of U.S. military men, nurses and residents of a Polynesian island during World War II, based on James Michener's Tales of the South Pacific and featuring a score by Rodgers and Hammerstein.",1925,5,1949-04-07,1954-01-16,,SouthPacific,https://bsp-static.playbill.com/dims4/default/f46684c/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F05%2F1e%2F73c325d640fe9b1d64e013a23474%2Fsouth-pacific-playbill-2008-03-01-web.jpg
38,The Magic Show,Musical,"A young magician replaces a fading one, performing several amazing feats along with his assistants, in Stephen Schwartz's musical.",1920,5,1974-05-28,1978-12-31,,TheMagicShow,https://bsp-static.playbill.com/dims4/default/02b1398/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2Fed%2F37%2F596ef1914d9187d6b780b1277293%2Fthe-magic-show-playbill-1978-11-web.jpg
39,Hamilton,Musical,"From bastard orphan to Washington's right hand man, rebel to war hero, loving husband caught in the country's first sex scandal to Treasury head who made an untrusting world believe in the American economy, Hamilton is an exploration of a political mastermind. George Washington, Thomas Jefferson, Eliza Hamilton, and lifelong Hamilton friend and foe, Aaron Burr, all attend this revolutionary tale of America’s fiery past told through the sounds of the ever-changing nation we've become.",1919,5,2015-08-06,2020-06-02,https://www.broadway.org/logos/shows/hamilton.jpg,Hamilton,https://bsp-static.playbill.com/dims4/default/9ce9b12/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2Fb2%2Fd5%2Fd007cd9d468f8b0ed107c00d119e%2Fhamilton-playbill-2018-01-web.jpg
40,Aida,Musical,"This Elton John-Tim Rice pop opera, inspired by Verdi's classic opera, tells the story of enslaved Nubian princess Aida, who falls for captain of the guard Radames, who is betrothed to the Egyptian princess who is Aida's mistress.",1852,4,2000-03-23,2004-09-05,,Aida,https://bsp-static.playbill.com/dims4/default/4c26fe7/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F2b%2F1d%2F70ceb1ec450eab552d268bac04e0%2Faida-playbill-2000-02-25-web.jpg
41,Gemini,Play,A brother and sister are both attracted to the same man in the summer of 1973 in Philadelphia.,1819,4,1977-05-21,1981-09-06,,Gemini,https://bsp-static.playbill.com/dims4/default/1d38db5/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F9f%2F9a%2F68e21fdf4e248f6c6d813b3b47d0%2FGemini-Playbill-06-77.jpg
42,Deathtrap,Thriller,A down-on-his-luck playwright's student tells him he has written the perfect suspense play and will bring it to the playwright's Connecticut home tonight. The suspense over whether the playwright will kill the student and take credit for his play forms the crux of Ira Levin's thriller.,1793,4,1978-02-26,1982-06-13,,Deathtrap,https://bsp-static.playbill.com/dims4/default/f8ba50a/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2Fe8%2Ff7%2F94d3f7e74a1db113e39beded5006%2Fdeathtrap-playbill-1978-02-web.jpg
43,Harvey,"Play, Comedy","A harmless, alcoholic middle-aged man drives his sister crazy by insisting that his friendship with an invisible white rabbit is real, in Mary Chase's comic fantasy.",1775,4,1944-11-01,1949-01-15,,Harvey,https://bsp-static.playbill.com/dims4/default/e2d9cc4/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2Fe7%2F58%2F36a98e814f01bfe392789d6833c5%2Fharvey-playbill-1944-11-web.jpg
44,Dancin',Musical,"This anthology of dance vignettes, using a wide variety of styles, existing songs and no book, is directed and choreographed by Bob Fosse.",1774,4,1978-03-27,1982-06-27,,Dancin,https://bsp-static.playbill.com/dims4/default/0968747/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F07%2F92%2F49a3a81f4a64ae50b496723d6a3f%2FDancin-Playbill-06-82.jpg
45,La Cage aux Folles,"Musical, Comedy","Jerry Herman's musical, based on the French play of the same name, is the story of a flamboyant gay couple who must pretend to be straight for one night — with one of the men in drag — to dupe the conservative political family of their son's fiancee.",1761,4,1983-08-21,1987-11-15,,LaCageauxFolles,https://bsp-static.playbill.com/dims4/default/39a5bd7/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F83%2F2d%2F7014839e4c31b5940d50dfbd6d23%2Fla-cage-aux-folles-playbill-2010-04-06-web.jpg
46,Hair,Musical,"The musical that introduced rock 'n' roll to the theatrical stage, Hair examines a group of 60s-era youth struggling for generational and personal identity, dealing with the Vietnam War, and exploring drugs and the sexual revolution.",1750,4,1968-04-29,1972-07-01,https://www.broadway.org/logos/shows/hair.jpg,Hair,https://bsp-static.playbill.com/dims4/default/31a8b89/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2F7e%2F04%2Fe2d3f4f943aa8559f9ea5008c93f%2Fhair-playbill-2011-07-web.jpg
47,The Wiz,Musical,"Kansas farm girl Dorothy is transported in a tornado to the magical land of Oz in this musical retelling of The Wizard of Oz that features an all-black cast, a score by Charlie Smalls and a book with an updated urban sensibility by William F. Brown.",1672,4,1975-01-05,1979-01-28,,TheWiz,https://bsp-static.playbill.com/dims4/default/cdcfffb/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2Fed%2F80%2F41631c324f8ea927c50566280800%2Fthe-wiz-playbill-1984-05-web.jpg
48,Born Yesterday,Comedy,"A millionaire junk dealer with designs on Washington politics hires a sophisticated writer to educate his dumb-blonde girlfriend, Billie Dawn, who ends up falling for the writer and turning the tables on her boyfriend's shady business deals.",1642,4,1946-02-04,1949-12-31,,BornYesterday,https://bsp-static.playbill.com/dims4/default/4e1b1da/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2Ff0%2F9c%2F62972e584e6d9c0dc87c16d79fb2%2Fborn-yesterday-playbill-2011-03-31-web.jpg
49,Crazy For You,Musical,"A banker with a yen for show business is sent to foreclose on a property that turns out to be a theatre. After falling in love with the local postmistress, he decides to put on a show to save the theatre, in this musical featuring classic Gershwin songs and a Ken Ludwig libretto inspired by the 1930 musical Girl Crazy.",1622,4,1992-02-19,1996-01-07,,CrazyForYou,https://bsp-static.playbill.com/dims4/default/c74ed94/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2Fff%2Fc0%2F0669c59a4023ad4c1bd23d35bf39%2Fcrazy-for-you-playbill-1992-02-web.jpg
50,Ain't Misbehavin',Musical,"A cast of five singers perform the music and celebrate the freewheeling spirit of Harlem musician Thomas ""Fats"" Waller.",1604,4,1978-05-09,1982-02-21,,AintMisbehavin,https://bsp-static.playbill.com/dims4/default/2b4dac1/2147483647/resize/x250%3C/quality/90/?url=http%3A%2F%2Fpb-asset-replication.s3.amazonaws.com%2Fb9%2F61%2F169b37694abc9495fb03cfd719f1%2Faint-misbehavin-playbill-1988-08-web.jpg
