ShowOriginal,Theatre,WeekEnd,Weekly Total Attendance,Weekly Grosses,Numberof Performances,Number of Performances,Percent Capacity,ShowCaseCorrected,Show,RerunYear,Run
MY NAME IS LUCY BARTON,Friedman,2020-02-16,4459,578870,7,0,0.99,My Name is Lucy Barton,My Name is Lucy Barton,,Original
MY NAME IS LUCY BARTON,Friedman,2020-02-23,4457,564433,7,0,0.99,My Name is Lucy Barton,My Name is Lucy Barton,,Original
MY NAME IS LUCY BARTON,Friedman,2020-03-01,4443,568736,7,0,0.98,My Name is Lucy Barton,My Name is Lucy Barton,,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2016-04-12,8767,1174389,8,0,0.96,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2016-06-11,8638,1025106,0,8,0.95,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2016-10-23,8686,1131919,0,8,0.96,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2016-10-30,8604,1065151,0,8,0.95,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2016-11-12,8994,1209021,8,0,0.99,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2016-11-13,8832,1038143,0,8,0.97,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2016-11-20,8169,888329,8,0,0.90,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2016-11-27,8975,1282384,8,0,0.99,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2016-12-18,8834,1121528,8,0,0.97,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2016-12-25,8925,1197112,8,0,0.98,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-01-01,8746,1371950,8,0,0.96,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-01-15,8940,1190344,8,0,0.98,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-01-22,8945,1121155,8,0,0.98,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-01-29,8962,1095396,8,0,0.98,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-02-04,8723,1067471,8,0,0.96,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-02-07,9068,1409877,8,0,1.00,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-02-19,8695,1084562,8,0,0.96,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-02-26,9041,1090356,8,0,0.99,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-03-09,9057,1183228,8,0,0.99,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-03-19,8584,1063631,8,0,0.94,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-03-26,8806,1098170,8,0,0.97,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-04-06,8986,1171371,8,0,0.99,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-04-16,8921,1050854,8,0,0.98,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-04-23,8645,1099401,8,0,0.95,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-04-30,8158,937564,8,0,0.90,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-05-02,8247,948196,8,0,0.91,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-05-03,8498,984889,8,0,0.93,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-05-14,8964,1177329,8,0,0.98,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-05-21,9080,1200043,8,0,1.00,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-05-28,9056,1239290,8,0,0.99,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-06-08,8939,875614,8,0,0.98,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-06-18,9084,1319766,8,0,1.00,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-06-25,9090,1353993,8,0,1.00,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-07-05,8575,875723,8,0,0.94,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-07-16,8829,939748,8,0,0.97,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-07-23,8918,923571,8,0,0.98,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-07-30,8980,905514,8,0,0.99,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-08-01,9065,1189172,8,0,1.00,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-08-13,9072,981664,8,0,1.00,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-08-20,8731,888427,8,0,0.96,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-08-27,8988,974280,8,0,0.99,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-09-04,8114,995967,8,0,0.89,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-09-07,8634,890914,8,0,0.95,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-11-06,8939,1260351,8,0,0.98,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-12-02,8254,961038,8,0,0.91,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
"NATASHA, PIERRE & THE GREAT COMET OF 1812",Imperial,2017-12-03,8800,1015491,8,0,0.97,"Natasha, Pierre & The Great Comet of 1812","Natasha, Pierre & The Great Comet of 181",,Original
NETWORK,Belasco,2018-11-11,2036,293220,0,2,1.00,Network,Network,,Original
NETWORK,Belasco,2018-11-18,7027,994920,0,7,0.99,Network,Network,,Original
NETWORK,Belasco,2018-11-25,8053,1269076,0,8,0.99,Network,Network,,Original
NETWORK,Belasco,2018-12-02,8136,1097763,0,8,1.00,Network,Network,,Original
NETWORK,Belasco,2018-12-09,8229,960415,5,3,1.01,Network,Network,,Original
NETWORK,Belasco,2018-12-16,8234,1224692,8,0,1.01,Network,Network,,Original
NETWORK,Belasco,2018-12-23,8081,1211044,8,0,1.00,Network,Network,,Original
NETWORK,Belasco,2018-12-30,8201,1367013,8,0,1.01,Network,Network,,Original
NETWORK,Belasco,2019-01-06,8059,1197000,8,0,0.99,Network,Network,,Original
NETWORK,Belasco,2019-01-13,7053,1026008,7,0,0.99,Network,Network,,Original
NETWORK,Belasco,2019-01-20,7132,1051929,7,0,1.00,Network,Network,,Original
NETWORK,Belasco,2019-01-27,7082,1053372,7,0,1.00,Network,Network,,Original
NETWORK,Belasco,2019-02-03,6950,1040402,7,0,0.98,Network,Network,,Original
NETWORK,Belasco,2019-02-10,7120,1025683,7,0,1.00,Network,Network,,Original
NETWORK,Belasco,2019-02-17,7181,1041462,7,0,1.01,Network,Network,,Original
NETWORK,Belasco,2019-02-24,7124,1057115,7,0,1.00,Network,Network,,Original
NETWORK,Belasco,2019-03-03,7035,1024594,7,0,0.99,Network,Network,,Original
NETWORK,Belasco,2019-03-10,7145,1060416,7,0,1.01,Network,Network,,Original
NETWORK,Belasco,2019-03-17,7211,1060740,7,0,1.01,Network,Network,,Original
NETWORK,Belasco,2019-03-24,7147,1027709,7,0,1.01,Network,Network,,Original
NETWORK,Belasco,2019-03-31,7117,1045591,7,0,1.00,Network,Network,,Original
NETWORK,Belasco,2019-04-07,6921,1011176,7,0,0.97,Network,Network,,Original
NETWORK,Belasco,2019-04-14,6908,1006511,7,0,0.97,Network,Network,,Original
NETWORK,Belasco,2019-04-21,7107,1020896,7,0,1.00,Network,Network,,Original
NETWORK,Belasco,2019-04-28,7197,1052594,7,0,1.01,Network,Network,,Original
NETWORK,Belasco,2019-05-12,7146,950745,7,0,1.01,Network,Network,,Original
NETWORK,Belasco,2019-05-19,7241,1015836,7,0,1.02,Network,Network,,Original
NETWORK,Belasco,2019-05-26,7284,1008529,7,0,1.03,Network,Network,,Original
NETWORK,Belasco,2019-06-02,7293,1037755,7,0,1.03,Network,Network,,Original
NETWORK,Belasco,2019-06-09,7267,1136630,7,0,1.02,Network,Network,,Original
NOISES OFF 2016,American Airlines,2016-01-17,5856,382252,5,3,0.99,Noises Off 2016,Noises Off ,2016,Rerun
NOISES OFF 2016,American Airlines,2016-01-24,4040,300106,6,0,0.91,Noises Off 2016,Noises Off ,2016,Rerun
NOISES OFF 2016,American Airlines,2016-01-31,5468,442872,8,0,0.92,Noises Off 2016,Noises Off ,2016,Rerun
NOISES OFF 2016,American Airlines,2016-02-14,5515,432543,8,0,0.93,Noises Off 2016,Noises Off ,2016,Rerun
NOISES OFF 2016,American Airlines,2016-02-21,5786,508885,8,0,0.98,Noises Off 2016,Noises Off ,2016,Rerun
NOISES OFF 2016,American Airlines,2016-02-28,5687,475948,8,0,0.96,Noises Off 2016,Noises Off ,2016,Rerun
NOISES OFF 2016,American Airlines,2016-03-01,5554,438491,0,8,0.94,Noises Off 2016,Noises Off ,2016,Rerun
NOISES OFF 2016,American Airlines,2016-03-13,5999,557404,8,0,1.01,Noises Off 2016,Noises Off ,2016,Rerun
NOISES OFF 2016,American Airlines,2016-06-03,5924,495948,8,0,1.00,Noises Off 2016,Noises Off ,2016,Rerun
NOISES OFF 2016,American Airlines,2016-07-02,5552,445927,8,0,0.94,Noises Off 2016,Noises Off ,2016,Rerun
NOISES OFF 2016,American Airlines,2016-10-01,5679,366803,0,8,0.96,Noises Off 2016,Noises Off ,2016,Rerun
"OH, HELLO ON BROADWAY",Lyceum,2016-02-10,5243,396561,0,7,0.82,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2016-04-12,6500,539525,8,0,0.89,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2016-06-11,5752,485191,8,0,0.79,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2016-09-10,6066,416495,0,8,0.83,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2016-09-25,2456,247237,0,3,0.90,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2016-10-16,6278,464656,8,0,0.86,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2016-10-23,6286,545028,8,0,0.86,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2016-10-30,6207,492715,8,0,0.85,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2016-11-12,6549,574019,8,0,0.90,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2016-11-13,6254,540865,8,0,0.86,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2016-11-20,5970,503823,8,0,0.82,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2016-11-27,6276,618812,8,0,0.86,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2016-12-18,6855,606841,8,0,0.94,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2016-12-25,5614,543156,7,0,0.88,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2017-01-01,8147,911602,9,0,0.99,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2017-01-15,7284,762605,8,0,1.00,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2017-01-22,7297,804513,8,0,1.00,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
"OH, HELLO ON BROADWAY",Lyceum,2017-08-01,7154,706473,8,0,0.98,"Oh, Hello On Broadway","Oh, Hello On Broadway",,Original
OKLAHOMA! 2019,Circle In The Square,2019-03-24,4475,487373,0,7,0.99,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-03-31,5258,537287,0,8,1.01,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-04-07,5324,451274,1,7,1.03,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-04-14,5222,599132,8,0,1.01,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-04-21,5265,604973,8,0,1.02,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-04-28,5266,651744,8,0,1.02,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-05-05,5206,625193,8,0,1.00,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-05-12,5151,615366,8,0,0.99,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-05-19,5282,631293,8,0,1.01,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-05-26,5271,604896,8,0,1.01,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-06-02,5208,526781,8,0,1.00,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-06-09,5173,583922,8,0,0.99,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-06-16,5187,638014,8,0,1.00,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-06-23,4995,614474,8,0,0.96,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-06-30,4860,586725,8,0,0.93,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-07-07,4961,520921,8,0,0.95,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-07-14,4375,502961,7,0,0.96,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-07-21,4974,584811,8,0,0.96,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-07-28,4905,559929,8,0,0.94,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-08-04,4878,523712,8,0,0.94,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-08-11,4716,507604,8,0,0.91,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-08-18,4561,476328,8,0,0.88,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-08-25,4631,449815,8,0,0.89,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-09-01,4885,529036,8,0,0.94,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-09-08,4318,403933,8,0,0.83,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-09-15,4697,440186,8,0,0.90,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-09-22,4441,410704,8,0,0.85,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-09-29,4481,414223,8,0,0.86,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-10-06,4333,411668,8,0,0.83,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-10-13,4875,490176,8,0,0.94,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-10-20,4608,473275,8,0,0.88,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-10-27,4364,469965,8,0,0.84,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-11-03,4366,390655,8,0,0.84,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-11-10,4797,498466,8,0,0.92,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-11-17,4070,379069,8,0,0.78,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-11-24,4024,346426,8,0,0.77,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-12-01,4382,509840,8,0,0.84,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-12-08,4724,505272,8,0,0.91,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-12-15,4714,455742,8,0,0.91,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-12-22,4476,436851,8,0,0.86,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2019-12-29,4986,609562,8,0,0.96,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2020-01-05,5025,521044,8,0,0.96,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2020-01-12,5145,555451,8,0,0.99,Oklahoma! 2019,Oklahoma! ,2019,Rerun
OKLAHOMA! 2019,Circle In The Square,2020-01-19,5389,672071,8,0,1.03,Oklahoma! 2019,Oklahoma! ,2019,Rerun
ON YOUR FEET!,Marquis,2016-01-05,9391,969147,8,0,0.72,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-01-17,10442,1146372,8,0,0.80,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-01-24,7322,732366,6,0,0.75,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-01-31,10510,1082485,8,0,0.81,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-02-10,7423,716690,8,0,0.57,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-02-14,10392,1098756,8,0,0.80,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-02-21,10002,1032021,8,0,0.77,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-02-28,8494,829058,8,0,0.65,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-03-01,12538,1495724,8,0,0.96,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-03-04,10180,1066514,8,0,0.78,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-03-07,7580,759324,8,0,0.58,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-03-13,9308,973702,8,0,0.72,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-03-20,8907,934149,8,0,0.68,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-03-27,9607,992096,8,0,0.74,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-04-09,7483,715842,8,0,0.58,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-04-12,8482,855817,8,0,0.65,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-04-17,8573,883616,8,0,0.66,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-04-24,8332,831705,8,0,0.64,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-05-06,7809,787779,8,0,0.60,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-05-15,9691,1016014,8,0,0.75,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-05-22,10041,1004367,8,0,0.77,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-05-29,8663,876630,8,0,0.67,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-06-03,9059,882991,8,0,0.70,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-06-11,7561,714753,8,0,0.58,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-06-19,8222,840804,8,0,0.63,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-06-26,8224,836484,8,0,0.63,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-07-02,10594,1058989,8,0,0.81,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-07-08,7304,656563,8,0,0.56,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-07-17,8907,793370,8,0,0.68,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-07-24,8262,761232,8,0,0.64,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-07-31,7520,702076,8,0,0.58,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-08-05,9619,959447,8,0,0.74,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-08-14,7585,703403,8,0,0.58,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-08-21,7015,650161,8,0,0.54,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-08-28,7531,686375,8,0,0.58,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-09-10,8053,762243,8,0,0.62,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-09-18,9881,925136,8,0,0.76,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-09-25,8074,788492,8,0,0.62,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-10-01,9808,1121842,8,0,0.75,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-10-04,8577,864813,8,0,0.66,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-10-07,6867,675318,8,0,0.53,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-10-16,8840,815137,8,0,0.68,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-10-23,10028,881156,8,0,0.77,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-10-30,7627,705544,8,0,0.59,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-11-09,8201,763016,8,0,0.63,On Your Feet!,On Your Feet!,,Original
ON YOUR FEET!,Marquis,2016-11-12,9185,936061,8,0,0.71,On Your Feet!,On Your Feet!,,Original
