﻿Index,Month,Borough,Category,Event Type,Events
"1,189",2018-10,Queens,WEB,Shooting Permit,18
"1,190",2018-10,Staten Island,Film,Shooting Permit,8
"1,191",2018-10,Staten Island,Student,Shooting Permit,3
"1,192",2018-10,Staten Island,Television,Shooting Permit,9
"1,193",2018-10,Staten Island,WEB,DCAS Prep/Shoot/Wrap Permit,1
"1,194",2018-10,Staten Island,WEB,Shooting Permit,2
"1,195",2018-11,Bronx,Film,Shooting Permit,8
"1,196",2018-11,Bronx,Still Photography,Shooting Permit,1
"1,197",2018-11,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,5
"1,198",2018-11,Bronx,Television,Shooting Permit,33
"1,199",2018-11,Brooklyn,Commercial,Shooting Permit,29
"1,200",2018-11,Brooklyn,Documentary,Shooting Permit,1
"1,201",2018-11,Brooklyn,Film,Shooting Permit,74
"1,202",2018-11,Brooklyn,Still Photography,Shooting Permit,18
"1,203",2018-11,Brooklyn,Student,Shooting Permit,1
"1,204",2018-11,Brooklyn,Television,Rigging Permit,1
"1,205",2018-11,Brooklyn,Television,Shooting Permit,259
"1,206",2018-11,Brooklyn,Theater,Theater Load in and Load Outs,38
"1,207",2018-11,Brooklyn,WEB,Shooting Permit,13
"1,208",2018-11,Manhattan,Commercial,Shooting Permit,29
"1,209",2018-11,Manhattan,Documentary,Shooting Permit,5
"1,210",2018-11,Manhattan,Film,DCAS Prep/Shoot/Wrap Permit,1
"1,211",2018-11,Manhattan,Film,Shooting Permit,61
"1,212",2018-11,Manhattan,Music Video,Shooting Permit,1
"1,213",2018-11,Manhattan,Still Photography,Shooting Permit,46
"1,214",2018-11,Manhattan,Student,Rigging Permit,4
"1,215",2018-11,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,6
"1,216",2018-11,Manhattan,Television,Rigging Permit,1
"1,217",2018-11,Manhattan,Television,Shooting Permit,323
"1,218",2018-11,Manhattan,Television,Theater Load in and Load Outs,4
"1,219",2018-11,Manhattan,Theater,Shooting Permit,4
"1,220",2018-11,Manhattan,Theater,Theater Load in and Load Outs,117
"1,221",2018-11,Manhattan,WEB,Shooting Permit,21
"1,222",2018-11,Queens,Commercial,Shooting Permit,2
"1,223",2018-11,Queens,Film,Shooting Permit,3
"1,224",2018-11,Queens,Still Photography,Shooting Permit,2
"1,225",2018-11,Queens,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,226",2018-11,Queens,Television,Shooting Permit,186
"1,227",2018-11,Queens,Television,Theater Load in and Load Outs,1
"1,228",2018-11,Queens,WEB,Shooting Permit,2
"1,229",2018-11,Staten Island,Film,Shooting Permit,2
"1,230",2018-11,Staten Island,Television,Shooting Permit,25
"1,231",2018-12,Bronx,Commercial,Shooting Permit,3
"1,232",2018-12,Bronx,Still Photography,Shooting Permit,4
"1,233",2018-12,Bronx,Television,Shooting Permit,16
"1,234",2018-12,Bronx,WEB,Shooting Permit,3
"1,235",2018-12,Brooklyn,Commercial,Shooting Permit,23
"1,236",2018-12,Brooklyn,Film,Shooting Permit,21
"1,237",2018-12,Brooklyn,Music Video,Shooting Permit,1
"1,238",2018-12,Brooklyn,Still Photography,Shooting Permit,10
"1,239",2018-12,Brooklyn,Television,Shooting Permit,158
"1,240",2018-12,Brooklyn,Theater,Theater Load in and Load Outs,19
"1,241",2018-12,Brooklyn,WEB,Shooting Permit,7
"1,242",2018-12,Manhattan,Commercial,Shooting Permit,37
"1,243",2018-12,Manhattan,Documentary,Shooting Permit,1
"1,244",2018-12,Manhattan,Film,Shooting Permit,27
"1,245",2018-12,Manhattan,Still Photography,Shooting Permit,15
"1,246",2018-12,Manhattan,Student,Rigging Permit,4
"1,247",2018-12,Manhattan,Student,Shooting Permit,4
"1,248",2018-12,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,10
"1,249",2018-12,Manhattan,Television,Rigging Permit,7
"1,250",2018-12,Manhattan,Television,Shooting Permit,210
"1,251",2018-12,Manhattan,Television,Theater Load in and Load Outs,2
"1,252",2018-12,Manhattan,Theater,Theater Load in and Load Outs,86
"1,253",2018-12,Manhattan,WEB,Rigging Permit,1
"1,254",2018-12,Manhattan,WEB,Shooting Permit,17
"1,255",2018-12,Queens,Commercial,Shooting Permit,1
"1,256",2018-12,Queens,Documentary,Shooting Permit,2
"1,257",2018-12,Queens,Film,Shooting Permit,8
"1,258",2018-12,Queens,Music Video,Shooting Permit,3
"1,259",2018-12,Queens,Still Photography,Shooting Permit,1
"1,260",2018-12,Queens,Television,Shooting Permit,107
"1,261",2018-12,Queens,Television,Theater Load in and Load Outs,1
"1,262",2018-12,Queens,WEB,Shooting Permit,4
"1,263",2018-12,Staten Island,Film,Shooting Permit,2
"1,264",2018-12,Staten Island,Television,Shooting Permit,4
"1,265",2019-01,Bronx,Commercial,Shooting Permit,1
"1,266",2019-01,Bronx,Film,Shooting Permit,1
"1,267",2019-01,Bronx,Television,Shooting Permit,18
"1,268",2019-01,Brooklyn,Commercial,Shooting Permit,3
"1,269",2019-01,Brooklyn,Documentary,Shooting Permit,2
"1,270",2019-01,Brooklyn,Film,Shooting Permit,20
"1,271",2019-01,Brooklyn,Music Video,Shooting Permit,1
"1,272",2019-01,Brooklyn,Still Photography,Shooting Permit,5
"1,273",2019-01,Brooklyn,Television,Rigging Permit,1
"1,274",2019-01,Brooklyn,Television,Shooting Permit,178
"1,275",2019-01,Brooklyn,Theater,Theater Load in and Load Outs,14
"1,276",2019-01,Brooklyn,WEB,Shooting Permit,5
"1,277",2019-01,Manhattan,Commercial,Rigging Permit,2
"1,278",2019-01,Manhattan,Commercial,Shooting Permit,26
"1,279",2019-01,Manhattan,Film,Shooting Permit,36
"1,280",2019-01,Manhattan,Still Photography,Shooting Permit,12
"1,281",2019-01,Manhattan,Student,Rigging Permit,2
"1,282",2019-01,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,10
"1,283",2019-01,Manhattan,Television,Rigging Permit,6
"1,284",2019-01,Manhattan,Television,Shooting Permit,193
"1,285",2019-01,Manhattan,Television,Theater Load in and Load Outs,1
"1,286",2019-01,Manhattan,Theater,Shooting Permit,1
"1,287",2019-01,Manhattan,Theater,Theater Load in and Load Outs,51
"1,288",2019-01,Manhattan,WEB,Shooting Permit,28
"1,289",2019-01,Queens,Film,Shooting Permit,3
"1,290",2019-01,Queens,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,291",2019-01,Queens,Television,Shooting Permit,113
"1,292",2019-01,Staten Island,Television,Shooting Permit,2
"1,293",2019-02,Bronx,Film,Shooting Permit,5
"1,294",2019-02,Bronx,Television,Shooting Permit,35
"1,295",2019-02,Brooklyn,Commercial,Shooting Permit,12
"1,296",2019-02,Brooklyn,Film,Shooting Permit,21
"1,297",2019-02,Brooklyn,Still Photography,Shooting Permit,11
"1,298",2019-02,Brooklyn,Television,Rigging Permit,3
"1,299",2019-02,Brooklyn,Television,Shooting Permit,158
"1,300",2019-02,Brooklyn,Theater,Theater Load in and Load Outs,28
"1,301",2019-02,Brooklyn,WEB,Shooting Permit,8
"1,302",2019-02,Manhattan,Commercial,Shooting Permit,31
"1,303",2019-02,Manhattan,Documentary,Shooting Permit,3
"1,304",2019-02,Manhattan,Film,Shooting Permit,25
"1,305",2019-02,Manhattan,Still Photography,Shooting Permit,19
"1,306",2019-02,Manhattan,Student,Rigging Permit,1
"1,307",2019-02,Manhattan,Television,Rigging Permit,12
"1,308",2019-02,Manhattan,Television,Shooting Permit,211
"1,309",2019-02,Manhattan,Television,Theater Load in and Load Outs,3
"1,310",2019-02,Manhattan,Theater,Theater Load in and Load Outs,73
"1,311",2019-02,Manhattan,WEB,DCAS Prep/Shoot/Wrap Permit,1
"1,312",2019-02,Manhattan,WEB,Shooting Permit,17
"1,313",2019-02,Manhattan,WEB,Theater Load in and Load Outs,2
"1,314",2019-02,Queens,Commercial,Shooting Permit,11
"1,315",2019-02,Queens,Film,Shooting Permit,6
"1,316",2019-02,Queens,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,317",2019-02,Queens,Television,Rigging Permit,7
"1,318",2019-02,Queens,Television,Shooting Permit,114
"1,319",2019-02,Staten Island,Commercial,Shooting Permit,1
"1,320",2019-02,Staten Island,Television,Shooting Permit,11
"1,321",2019-03,Bronx,Commercial,Shooting Permit,1
"1,322",2019-03,Bronx,Film,Shooting Permit,12
"1,323",2019-03,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,4
"1,324",2019-03,Bronx,Television,Rigging Permit,1
"1,325",2019-03,Bronx,Television,Shooting Permit,39
"1,326",2019-03,Brooklyn,Commercial,Shooting Permit,16
"1,327",2019-03,Brooklyn,Film,Shooting Permit,45
"1,328",2019-03,Brooklyn,Still Photography,Shooting Permit,10
"1,329",2019-03,Brooklyn,Student,Shooting Permit,1
"1,330",2019-03,Brooklyn,Television,Rigging Permit,3
"1,331",2019-03,Brooklyn,Television,Shooting Permit,185
"1,332",2019-03,Brooklyn,Television,Theater Load in and Load Outs,1
"1,333",2019-03,Brooklyn,Theater,Theater Load in and Load Outs,17
"1,334",2019-03,Brooklyn,WEB,Shooting Permit,10
"1,335",2019-03,Manhattan,Commercial,Shooting Permit,36
"1,336",2019-03,Manhattan,Documentary,Shooting Permit,8
"1,337",2019-03,Manhattan,Film,Shooting Permit,52
"1,338",2019-03,Manhattan,Music Video,Shooting Permit,1
"1,339",2019-03,Manhattan,Still Photography,Shooting Permit,15
"1,340",2019-03,Manhattan,Student,Rigging Permit,1
"1,341",2019-03,Manhattan,Student,Shooting Permit,5
"1,342",2019-03,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,7
"1,343",2019-03,Manhattan,Television,Rigging Permit,15
"1,344",2019-03,Manhattan,Television,Shooting Permit,422
"1,345",2019-03,Manhattan,Television,Theater Load in and Load Outs,4
"1,346",2019-03,Manhattan,Theater,Shooting Permit,7
"1,347",2019-03,Manhattan,Theater,Theater Load in and Load Outs,90
"1,348",2019-03,Manhattan,WEB,Shooting Permit,25
"1,349",2019-03,Queens,Commercial,Shooting Permit,3
"1,350",2019-03,Queens,Film,Shooting Permit,25
"1,351",2019-03,Queens,Still Photography,Shooting Permit,2
"1,352",2019-03,Queens,Television,Rigging Permit,1
"1,353",2019-03,Queens,Television,Shooting Permit,137
"1,354",2019-03,Queens,WEB,Shooting Permit,4
"1,355",2019-03,Staten Island,Film,Shooting Permit,2
"1,356",2019-03,Staten Island,Television,Shooting Permit,22
"1,357",2019-04,Bronx,Commercial,Shooting Permit,3
"1,358",2019-04,Bronx,Film,DCAS Prep/Shoot/Wrap Permit,1
"1,359",2019-04,Bronx,Film,Shooting Permit,10
"1,360",2019-04,Bronx,Still Photography,Shooting Permit,2
"1,361",2019-04,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,2
"1,362",2019-04,Bronx,Television,Shooting Permit,41
"1,363",2019-04,Bronx,WEB,Shooting Permit,2
"1,364",2019-04,Brooklyn,Commercial,Shooting Permit,19
"1,365",2019-04,Brooklyn,Film,Rigging Permit,1
"1,366",2019-04,Brooklyn,Film,Shooting Permit,66
"1,367",2019-04,Brooklyn,Still Photography,Shooting Permit,20
"1,368",2019-04,Brooklyn,Student,Shooting Permit,4
"1,369",2019-04,Brooklyn,Television,Rigging Permit,2
"1,370",2019-04,Brooklyn,Television,Shooting Permit,124
"1,371",2019-04,Brooklyn,Theater,Rigging Permit,4
"1,372",2019-04,Brooklyn,Theater,Theater Load in and Load Outs,26
"1,373",2019-04,Brooklyn,WEB,Shooting Permit,9
"1,374",2019-04,Manhattan,Commercial,Shooting Permit,91
"1,375",2019-04,Manhattan,Film,DCAS Prep/Shoot/Wrap Permit,3
"1,376",2019-04,Manhattan,Film,Shooting Permit,93
"1,377",2019-04,Manhattan,Still Photography,Shooting Permit,109
"1,378",2019-04,Manhattan,Student,Rigging Permit,4
"1,379",2019-04,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,14
"1,380",2019-04,Manhattan,Television,Rigging Permit,3
"1,381",2019-04,Manhattan,Television,Shooting Permit,314
"1,382",2019-04,Manhattan,Theater,Shooting Permit,4
"1,383",2019-04,Manhattan,Theater,Theater Load in and Load Outs,98
"1,384",2019-04,Manhattan,WEB,Shooting Permit,47
"1,385",2019-04,Manhattan,WEB,Theater Load in and Load Outs,1
"1,386",2019-04,Queens,Commercial,Shooting Permit,6
"1,387",2019-04,Queens,Film,Shooting Permit,19
"1,388",2019-04,Queens,Television,Shooting Permit,111
"1,389",2019-04,Queens,WEB,Shooting Permit,5
"1,390",2019-04,Staten Island,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,391",2019-04,Staten Island,Television,Shooting Permit,24
"1,392",2019-05,Bronx,Film,Shooting Permit,8
"1,393",2019-05,Bronx,Television,Shooting Permit,28
"1,394",2019-05,Brooklyn,Commercial,Shooting Permit,33
"1,395",2019-05,Brooklyn,Film,Rigging Permit,2
"1,396",2019-05,Brooklyn,Film,Shooting Permit,48
"1,397",2019-05,Brooklyn,Music Video,Shooting Permit,2
"1,398",2019-05,Brooklyn,Still Photography,Shooting Permit,27
"1,399",2019-05,Brooklyn,Television,Shooting Permit,66
"1,400",2019-05,Brooklyn,Theater,Theater Load in and Load Outs,24
"1,401",2019-05,Brooklyn,WEB,Shooting Permit,15
"1,402",2019-05,Manhattan,Commercial,Shooting Permit,54
"1,403",2019-05,Manhattan,Documentary,Shooting Permit,2
"1,404",2019-05,Manhattan,Film,Rigging Permit,1
"1,405",2019-05,Manhattan,Film,Shooting Permit,27
"1,406",2019-05,Manhattan,Film,Theater Load in and Load Outs,1
"1,407",2019-05,Manhattan,Music Video,Shooting Permit,21
"1,408",2019-05,Manhattan,Still Photography,DCAS Prep/Shoot/Wrap Permit,1
"1,409",2019-05,Manhattan,Still Photography,Shooting Permit,63
"1,410",2019-05,Manhattan,Student,Rigging Permit,1
"1,411",2019-05,Manhattan,Student,Shooting Permit,2
"1,412",2019-05,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,2
"1,413",2019-05,Manhattan,Television,Rigging Permit,4
"1,414",2019-05,Manhattan,Television,Shooting Permit,238
"1,415",2019-05,Manhattan,Television,Theater Load in and Load Outs,4
"1,416",2019-05,Manhattan,Theater,Shooting Permit,2
"1,417",2019-05,Manhattan,Theater,Theater Load in and Load Outs,122
"1,418",2019-05,Manhattan,WEB,Shooting Permit,51
"1,419",2019-05,Queens,Commercial,Shooting Permit,5
"1,420",2019-05,Queens,Film,Shooting Permit,25
"1,421",2019-05,Queens,Still Photography,Shooting Permit,2
"1,422",2019-05,Queens,Television,Rigging Permit,4
"1,423",2019-05,Queens,Television,Shooting Permit,77
"1,424",2019-05,Queens,WEB,Shooting Permit,8
"1,425",2019-05,Staten Island,Film,Shooting Permit,1
"1,426",2019-05,Staten Island,Television,Shooting Permit,32
"1,427",2019-06,Bronx,Film,Shooting Permit,9
"1,428",2019-06,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,2
"1,429",2019-06,Bronx,Television,Shooting Permit,31
"1,430",2019-06,Brooklyn,Commercial,Shooting Permit,33
"1,431",2019-06,Brooklyn,Documentary,Shooting Permit,1
"1,432",2019-06,Brooklyn,Film,Shooting Permit,45
"1,433",2019-06,Brooklyn,Still Photography,Shooting Permit,36
"1,434",2019-06,Brooklyn,Television,Shooting Permit,75
"1,435",2019-06,Brooklyn,Television,Theater Load in and Load Outs,1
"1,436",2019-06,Brooklyn,Theater,Shooting Permit,1
"1,437",2019-06,Brooklyn,Theater,Theater Load in and Load Outs,22
"1,438",2019-06,Brooklyn,WEB,Shooting Permit,10
"1,439",2019-06,Manhattan,Commercial,Shooting Permit,44
"1,440",2019-06,Manhattan,Documentary,Shooting Permit,6
"1,441",2019-06,Manhattan,Film,DCAS Prep/Shoot/Wrap Permit,5
"1,442",2019-06,Manhattan,Film,Rigging Permit,21
"1,443",2019-06,Manhattan,Film,Shooting Permit,146
"1,444",2019-06,Manhattan,Music Video,Shooting Permit,2
"1,445",2019-06,Manhattan,Still Photography,DCAS Prep/Shoot/Wrap Permit,1
"1,446",2019-06,Manhattan,Still Photography,Shooting Permit,79
"1,447",2019-06,Manhattan,Television,Rigging Permit,10
"1,448",2019-06,Manhattan,Television,Shooting Permit,186
"1,449",2019-06,Manhattan,Television,Theater Load in and Load Outs,2
"1,450",2019-06,Manhattan,Theater,Shooting Permit,9
"1,451",2019-06,Manhattan,Theater,Theater Load in and Load Outs,81
"1,452",2019-06,Manhattan,WEB,Shooting Permit,24
"1,453",2019-06,Queens,Commercial,Shooting Permit,1
"1,454",2019-06,Queens,Film,DCAS Prep/Shoot/Wrap Permit,1
"1,455",2019-06,Queens,Film,Shooting Permit,13
"1,456",2019-06,Queens,Still Photography,Shooting Permit,1
"1,457",2019-06,Queens,Television,Rigging Permit,2
"1,458",2019-06,Queens,Television,Shooting Permit,66
"1,459",2019-06,Queens,WEB,Shooting Permit,3
"1,460",2019-06,Staten Island,Documentary,Shooting Permit,1
"1,461",2019-06,Staten Island,Film,Shooting Permit,26
"1,462",2019-06,Staten Island,Television,Shooting Permit,32
"1,463",2019-07,Bronx,Film,Shooting Permit,7
"1,464",2019-07,Bronx,Still Photography,Shooting Permit,3
"1,465",2019-07,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,2
"1,466",2019-07,Bronx,Television,Shooting Permit,12
"1,467",2019-07,Bronx,WEB,Shooting Permit,2
"1,468",2019-07,Brooklyn,Commercial,Shooting Permit,26
"1,469",2019-07,Brooklyn,Film,Shooting Permit,41
"1,470",2019-07,Brooklyn,Music Video,Shooting Permit,3
"1,471",2019-07,Brooklyn,Still Photography,Shooting Permit,27
"1,472",2019-07,Brooklyn,Television,DCAS Prep/Shoot/Wrap Permit,2
"1,473",2019-07,Brooklyn,Television,Rigging Permit,1
"1,474",2019-07,Brooklyn,Television,Shooting Permit,128
"1,475",2019-07,Brooklyn,Theater,Theater Load in and Load Outs,7
"1,476",2019-07,Brooklyn,WEB,Shooting Permit,13
"1,477",2019-07,Manhattan,Commercial,Shooting Permit,45
"1,478",2019-07,Manhattan,Film,DCAS Prep/Shoot/Wrap Permit,2
"1,479",2019-07,Manhattan,Film,Rigging Permit,22
"1,480",2019-07,Manhattan,Film,Shooting Permit,128
"1,481",2019-07,Manhattan,Still Photography,Shooting Permit,49
"1,482",2019-07,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,8
"1,483",2019-07,Manhattan,Television,Rigging Permit,8
"1,484",2019-07,Manhattan,Television,Shooting Permit,263
"1,485",2019-07,Manhattan,Television,Theater Load in and Load Outs,2
"1,486",2019-07,Manhattan,Theater,Shooting Permit,3
"1,487",2019-07,Manhattan,Theater,Theater Load in and Load Outs,84
"1,488",2019-07,Manhattan,WEB,Shooting Permit,35
"1,489",2019-07,Queens,Commercial,Shooting Permit,2
"1,490",2019-07,Queens,Film,DCAS Prep/Shoot/Wrap Permit,1
"1,491",2019-07,Queens,Film,Shooting Permit,13
"1,492",2019-07,Queens,Music Video,Shooting Permit,1
"1,493",2019-07,Queens,Television,Shooting Permit,116
"1,494",2019-07,Queens,WEB,Shooting Permit,4
"1,495",2019-07,Staten Island,Film,Rigging Permit,1
"1,496",2019-07,Staten Island,Film,Shooting Permit,30
"1,497",2019-07,Staten Island,Television,Rigging Permit,1
"1,498",2019-07,Staten Island,Television,Shooting Permit,12
"1,499",2019-08,Bronx,Commercial,Shooting Permit,1
"1,500",2019-08,Bronx,Film,Shooting Permit,4
"1,501",2019-08,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,502",2019-08,Bronx,Television,Shooting Permit,5
"1,503",2019-08,Bronx,WEB,Shooting Permit,4
"1,504",2019-08,Brooklyn,Commercial,Shooting Permit,17
"1,505",2019-08,Brooklyn,Documentary,Shooting Permit,3
"1,506",2019-08,Brooklyn,Film,Shooting Permit,29
"1,507",2019-08,Brooklyn,Music Video,Shooting Permit,3
"1,508",2019-08,Brooklyn,Still Photography,Shooting Permit,35
"1,509",2019-08,Brooklyn,Student,Shooting Permit,1
"1,510",2019-08,Brooklyn,Television,Rigging Permit,3
"1,511",2019-08,Brooklyn,Television,Shooting Permit,238
"1,512",2019-08,Brooklyn,Theater,Theater Load in and Load Outs,11
"1,513",2019-08,Brooklyn,WEB,Shooting Permit,6
"1,514",2019-08,Manhattan,Commercial,Shooting Permit,58
"1,515",2019-08,Manhattan,Documentary,Shooting Permit,5
"1,516",2019-08,Manhattan,Film,Rigging Permit,2
"1,517",2019-08,Manhattan,Film,Shooting Permit,60
"1,518",2019-08,Manhattan,Music Video,Shooting Permit,6
"1,519",2019-08,Manhattan,Still Photography,Shooting Permit,30
"1,520",2019-08,Manhattan,Student,Rigging Permit,2
"1,521",2019-08,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,2
"1,522",2019-08,Manhattan,Television,Rigging Permit,16
"1,523",2019-08,Manhattan,Television,Shooting Permit,259
"1,524",2019-08,Manhattan,Television,Theater Load in and Load Outs,1
"1,525",2019-08,Manhattan,Theater,Shooting Permit,5
"1,526",2019-08,Manhattan,Theater,Theater Load in and Load Outs,76
"1,527",2019-08,Manhattan,WEB,DCAS Prep/Shoot/Wrap Permit,1
"1,528",2019-08,Manhattan,WEB,Shooting Permit,26
"1,529",2019-08,Queens,Commercial,Shooting Permit,4
"1,530",2019-08,Queens,Film,Rigging Permit,1
"1,531",2019-08,Queens,Film,Shooting Permit,10
"1,532",2019-08,Queens,Still Photography,Shooting Permit,4
"1,533",2019-08,Queens,Television,DCAS Prep/Shoot/Wrap Permit,2
"1,534",2019-08,Queens,Television,Shooting Permit,215
"1,535",2019-08,Queens,WEB,Shooting Permit,6
"1,536",2019-08,Staten Island,Commercial,Shooting Permit,1
"1,537",2019-08,Staten Island,Film,Shooting Permit,9
"1,538",2019-08,Staten Island,Music Video,Shooting Permit,2
"1,539",2019-08,Staten Island,Television,Shooting Permit,4
"1,540",2019-09,Bronx,Film,Shooting Permit,2
"1,541",2019-09,Bronx,Still Photography,Shooting Permit,8
"1,542",2019-09,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,543",2019-09,Bronx,Television,Shooting Permit,6
"1,544",2019-09,Bronx,WEB,Shooting Permit,1
"1,545",2019-09,Brooklyn,Commercial,Shooting Permit,37
"1,546",2019-09,Brooklyn,Documentary,Shooting Permit,3
"1,547",2019-09,Brooklyn,Film,Shooting Permit,20
"1,548",2019-09,Brooklyn,Still Photography,Shooting Permit,18
"1,549",2019-09,Brooklyn,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,550",2019-09,Brooklyn,Television,Shooting Permit,215
"1,551",2019-09,Brooklyn,Theater,Theater Load in and Load Outs,15
"1,552",2019-09,Brooklyn,WEB,Shooting Permit,24
"1,553",2019-09,Manhattan,Commercial,Shooting Permit,47
"1,554",2019-09,Manhattan,Commercial,Theater Load in and Load Outs,2
"1,555",2019-09,Manhattan,Documentary,Shooting Permit,4
"1,556",2019-09,Manhattan,Film,Shooting Permit,52
"1,557",2019-09,Manhattan,Music Video,Shooting Permit,1
"1,558",2019-09,Manhattan,Still Photography,Shooting Permit,37
"1,559",2019-09,Manhattan,Student,Shooting Permit,1
"1,560",2019-09,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,9
"1,561",2019-09,Manhattan,Television,Rigging Permit,5
"1,562",2019-09,Manhattan,Television,Shooting Permit,222
"1,563",2019-09,Manhattan,Television,Theater Load in and Load Outs,1
"1,564",2019-09,Manhattan,Theater,Shooting Permit,4
"1,565",2019-09,Manhattan,Theater,Theater Load in and Load Outs,133
"1,566",2019-09,Manhattan,WEB,Rigging Permit,2
"1,567",2019-09,Manhattan,WEB,Shooting Permit,20
"1,568",2019-09,Queens,Commercial,Shooting Permit,2
"1,569",2019-09,Queens,Film,Shooting Permit,3
"1,570",2019-09,Queens,Still Photography,Shooting Permit,3
"1,571",2019-09,Queens,Television,DCAS Prep/Shoot/Wrap Permit,3
"1,572",2019-09,Queens,Television,Rigging Permit,14
"1,573",2019-09,Queens,Television,Shooting Permit,188
"1,574",2019-09,Queens,WEB,Shooting Permit,2
"1,575",2019-09,Staten Island,Commercial,Shooting Permit,4
"1,576",2019-09,Staten Island,Student,Shooting Permit,2
"1,577",2019-09,Staten Island,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,578",2019-09,Staten Island,Television,Shooting Permit,5
"1,579",2019-10,Bronx,Commercial,Shooting Permit,5
"1,580",2019-10,Bronx,Film,Shooting Permit,5
"1,581",2019-10,Bronx,Still Photography,Shooting Permit,1
"1,582",2019-10,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,2
"1,583",2019-10,Bronx,Television,Shooting Permit,9
"1,584",2019-10,Bronx,Television,Theater Load in and Load Outs,2
"1,585",2019-10,Brooklyn,Commercial,Shooting Permit,15
"1,586",2019-10,Brooklyn,Documentary,Shooting Permit,7
"1,587",2019-10,Brooklyn,Film,Shooting Permit,43
"1,588",2019-10,Brooklyn,Music Video,Shooting Permit,5
"1,589",2019-10,Brooklyn,Still Photography,Shooting Permit,29
"1,590",2019-10,Brooklyn,Student,Shooting Permit,2
"1,591",2019-10,Brooklyn,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,592",2019-10,Brooklyn,Television,Shooting Permit,217
"1,593",2019-10,Brooklyn,Television,Theater Load in and Load Outs,1
"1,594",2019-10,Brooklyn,Theater,Theater Load in and Load Outs,20
"1,595",2019-10,Brooklyn,WEB,Rigging Permit,1
"1,596",2019-10,Brooklyn,WEB,Shooting Permit,14
"1,597",2019-10,Manhattan,Commercial,Shooting Permit,70
"1,598",2019-10,Manhattan,Film,Shooting Permit,120
"1,599",2019-10,Manhattan,Music Video,Shooting Permit,5
"1,600",2019-10,Manhattan,Still Photography,Shooting Permit,41
"1,601",2019-10,Manhattan,Student,Rigging Permit,5
"1,602",2019-10,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,10
"1,603",2019-10,Manhattan,Television,Rigging Permit,1
"1,604",2019-10,Manhattan,Television,Shooting Permit,285
"1,605",2019-10,Manhattan,Television,Theater Load in and Load Outs,1
"1,606",2019-10,Manhattan,Theater,Shooting Permit,5
"1,607",2019-10,Manhattan,Theater,Theater Load in and Load Outs,160
"1,608",2019-10,Manhattan,WEB,Shooting Permit,16
"1,609",2019-10,Queens,Commercial,Shooting Permit,5
"1,610",2019-10,Queens,Film,Shooting Permit,10
"1,611",2019-10,Queens,Still Photography,Shooting Permit,7
"1,612",2019-10,Queens,Television,Shooting Permit,257
"1,613",2019-10,Queens,WEB,Shooting Permit,4
"1,614",2019-10,Staten Island,Commercial,Shooting Permit,6
"1,615",2019-10,Staten Island,Television,Shooting Permit,2
"1,616",2019-11,Bronx,Film,Shooting Permit,5
"1,617",2019-11,Bronx,Television,DCAS Prep/Shoot/Wrap Permit,1
"1,618",2019-11,Bronx,Television,Shooting Permit,26
"1,619",2019-11,Brooklyn,Commercial,Shooting Permit,15
"1,620",2019-11,Brooklyn,Documentary,Shooting Permit,2
"1,621",2019-11,Brooklyn,Film,Shooting Permit,68
"1,622",2019-11,Brooklyn,Still Photography,Shooting Permit,15
"1,623",2019-11,Brooklyn,Student,Shooting Permit,2
"1,624",2019-11,Brooklyn,Television,Shooting Permit,250
"1,625",2019-11,Brooklyn,Theater,Theater Load in and Load Outs,23
"1,626",2019-11,Brooklyn,WEB,Shooting Permit,5
"1,627",2019-11,Manhattan,Commercial,Shooting Permit,47
"1,628",2019-11,Manhattan,Documentary,Shooting Permit,2
"1,629",2019-11,Manhattan,Film,Shooting Permit,75
"1,630",2019-11,Manhattan,Still Photography,Shooting Permit,9
"1,631",2019-11,Manhattan,Student,Rigging Permit,4
"1,632",2019-11,Manhattan,Television,DCAS Prep/Shoot/Wrap Permit,11
